121352,2295,7280,1269,111,719
634306,4623,696,6220,3341,668
920825,2343,9106,7812,6220,7386
510633,6834,10,696,7757,9613
737889,6613,1485,1562,6220,7548
278900,5833,7250,853,4852,1997
674172,1470,3004,4895,8235,2988
303205,3072,1088,7812,5173,1158
570009,6613,2977,7812,668,6220
492875,3106,586,6728,4869,3231
54528,7812,7643,10,7250,4623
203218,696,9736,4991,4450,1398
473204,1262,4885,1177,926,4335
738368,6613,3072,9106,1088,7812
507001,1663,7030,2977,7302,8587
466926,4623,10,7250,696,846
837327,3807,8317,1967,348,792
406897,742,8350,7339,7294,5505
1181095,668,10,4623,7250,1997
224811,3622,8003,9494,7515,6993
730323,5676,7691,425,6150,6646
265218,5636,9016,2448,7489,7434
918533,1848,4991,6542,2801,8848
143302,7861,7168,3821,602,9695
479951,4003,93,6223,9106,3811
940088,4818,6990,8616,9868,1561
422912,7302,9222,5619,631,8587
80926,1177,6638,9560,7669,1155
350732,2649,7200,5003,6263,4227
1067511,4422,2021,9415,2690,6742
906071,668,9222,9285,5619,1115
628391,3060,3347,696,4846,2447
385906,7617,7030,9473,2297,8663
428191,7695,5556,6842,1792,3103
790457,1659,7289,2153,2299,1171
1067371,6613,3106,2299,7812,4869
242081,6613,10,6220,7812,3695
1006418,3297,7383,5265,9090,1425
843270,71,4863,3046,4901,5168
551231,5187,8221,8369,2299,3047
166621,3807,696,5619,3295,659
490462,4018,6213,631,1090,6737
316859,264,1380,2343,2068,4230
45248,10,6220,6613,696,7812
1176220,6613,9106,10,5446,6220
540340,6728,1562,4869,1485,4676
867974,2977,9752,7648,9830,7104
529604,155,8199,9180,9177,3192
439538,5940,2403,8369,3389,6507
436798,3658,7966,8446,2240,7782
1074527,7966,6613,6220,3807,8446
167374,2335,2162,1183,6312,7540
398039,6458,13,5082,9428,1090
389298,5446,6220,668,5736,5173
640699,6613,3072,2343,7289,5173
132366,5201,553,8769,2022,3449
280817,9213,7482,1614,6799,8127
932727,1081,7596,2928,6394,2295
197752,10,7302,6613,696,3295
466858,2188,1967,1021,7104,6737
1079617,3658,1595,5897,7452,8446
1013915,1211,8158,4563,8285,4057
381728,3874,3,1567,3651,1153
672091,9899,5321,1132,7785,1967
560432,7911,1947,5122,5782,1789
895696,6505,1387,2936,4034,3859
4801,2977,3341,668,6348,666
122479,1485,7812,10,4623,7250
1180498,693,2335,1663,7843,587
628984,961,1679,2199,9936,9801
668701,9899,1967,8832,5321,2505
797201,4692,2562,6613,6377,5897
293603,7678,150,5542,2347,8890
547843,9106,696,10,7812,1088
906893,1944,4803,2407,2214,6927
456284,5439,9163,1269,3931,111
335970,3807,4001,2977,8317,666
1057322,8497,7838,3013,6841,9911
1168693,3367,5736,5173,9213,1021
641469,696,7250,10,2143,8108
922753,4745,7707,5848,2166,6440
693178,9106,6613,3609,3231,1158
983342,13,7780,631,5274,1870
1161518,693,1183,2744,1967,631
23229,3160,6990,9945,3096,930
874646,6884,4472,6059,226,4450
924673,6685,2473,730,2943,5607
207697,8326,900,1418,2004,6437
445243,8681,6592,9842,4626,367
291569,1092,2411,8748,5353,9741
493513,5552,5345,3884,9672,6220
506152,7500,4645,1843,2717,5330
322801,1387,8240,1519,4034,8806
953121,8863,5037,6745,498,659
76299,2977,9830,7648,3961,1508
881296,233,6282,8108,6683,1303
41007,1967,2977,6220,6613,1380
268413,6872,696,7623,10,8108
293140,4563,7413,8158,7268,4057
1142466,696,7250,10,4914,4852
20627,6613,47,668,696,3295
803795,7280,111,1269,8557,719
1146849,4958,9017,8930,6740,7145
2341,3374,5037,2650,9933,4038
49519,4623,696,10,1485,4579
1164444,696,7302,3295,668,5619
253815,3523,5845,4000,6970,4134
814526,1435,6522,9707,2657,8589
653387,9763,4066,2343,3038,3108
147502,7847,7709,7012,3969,211
511965,977,735,8861,7302,8031
1038183,2995,9094,3963,6841,1895
153998,696,3295,10,668,5619
907017,8331,3961,3395,3070,3944
932677,6613,6458,47,6220,5082
502890,3621,4645,5897,1026,5549
921906,1556,2807,4134,9346,9141
1028807,9106,7812,696,10,722
381849,3360,696,9106,7289,10
788322,7250,4623,10,668,6220
511517,7590,7445,7622,8824,2063
894688,696,668,6220,5446,8317
335391,1088,5418,3072,5736,268
445408,7643,7250,10,696,659
350407,3117,2386,1173,4562,8157
770661,2857,1924,5155,5717,1484
499241,10,696,4623,7250,4579
893501,6846,5229,6380,4191,812
736625,3341,589,696,668,5619
1021478,7444,5966,6125,9271,5294
874441,1387,8696,1728,6834,3441
582504,5742,83,7726,3390,4369
565638,2295,8944,6990,7261,6828
916119,8387,502,5291,8280,8079
873032,55,1147,4496,1664,3360
728481,8758,9080,326,4426,7185
630324,10,696,4623,6220,3295
74883,3341,9285,666,1967,9213
963239,10,5736,696,9106,4493
573815,4547,3737,3925,3016,9187
685014,3609,497,3072,4501,1158
225661,2762,8180,7923,1365,4021
895823,5201,7513,9235,7548,5414
185244,9322,7500,3323,3897,7437
936625,549,1250,2979,1953,6487
997228,798,1673,7400,3876,8891
277407,10,666,696,5446,668
148099,1878,8424,5418,5998,4387
505542,1387,1739,7250,3903,1813
664304,524,6826,5940,2380,1110
1182320,2977,6613,6220,10,1090
123192,5736,9213,5173,5518,1045
435183,3057,505,7529,8786,712
712483,735,9763,9282,7812,3811
86112,4668,7861,8619,8786,3861
733144,2174,6990,7114,2295,6394
261590,9148,8799,8750,9497,4954
22774,3807,853,3295,2143,47
777157,7744,3609,7105,6490,3073
34189,7391,1278,2391,4360,2134
964168,8696,4794,9478,1190,6301
582382,3217,9557,9473,925,900
255020,9325,2201,895,4240,4910
953091,7644,5833,1387,9180,3859
20660,6479,6461,9180,1741,4314
297928,9619,7055,7423,8263,821
625752,2958,6810,8141,5296,2407
1155605,3807,668,8317,587,1967
1051009,6683,1922,3297,8966,4951
525578,6834,696,7250,6746,846
170212,6683,9032,8966,8749,7728
506060,7949,9735,7707,8099,6740
29939,5899,9693,4373,3120,1218
616315,9415,3153,2159,280,92
417463,3807,668,696,5619,3295
498993,2249,7915,7952,4852,1870
269619,8353,1416,3935,4245,6691
769753,3877,6164,6212,4131,5722
24876,3807,3341,668,6220,5619
809567,775,2392,7559,2184,2916
213262,1015,4912,7463,8173,8833
