152325,"(5289784, 0.7340858)","(5024694, 0.7414789)","(4186104, 0.7070747)","(1566602, 0.72509325)","(695587, 0.6838347)"
579883,"(6927405, 0.60753155)","(2686269, 0.5691979)","(2205830, 0.6065566)","(492197, 0.57629585)","(190671, 0.5667361)"
713391,"(6852536, 0.58177704)","(5977696, 0.5802349)","(3500683, 0.61799824)","(781145, 0.5917505)","(190671, 0.5698788)"
139145,"(7648850, 0.59592474)","(6927405, 0.7737646)","(6516883, 0.6584729)","(6130491, 0.64392644)","(4060669, 0.5928971)"
527096,"(5059361, 0.63224244)","(5040444, 0.59760845)","(3153983, 0.5977372)","(387250, 0.61890256)","(190671, 0.6003678)"
785348,"(4047753, 0.5842938)","(2716834, 0.58294946)","(2574616, 0.6097312)","(436343, 0.58221173)","(165198, 0.6224726)"
629435,"(6643514, 0.49005353)","(5435914, 0.48469803)","(5349743, 0.48860243)","(1968078, 0.44662422)","(665098, 0.45302832)"
696229,"(7529045, 0.6008216)","(5234894, 0.65438795)","(2559833, 0.6388512)","(781145, 0.61338884)","(769642, 0.6049895)"
577747,"(8795843, 0.5812974)","(5059361, 0.55777574)","(2205830, 0.53308666)","(781145, 0.53462565)","(190671, 0.58759964)"
1025712,"(7570091, 0.64764917)","(6752581, 0.714754)","(5081554, 0.6198981)","(454090, 0.716206)","(338789, 0.65238553)"
704132,"(6516883, 0.5798991)","(2686269, 0.55472857)","(2574616, 0.54867715)","(781145, 0.5468913)","(409551, 0.55408347)"
30347,"(7020298, 0.6034701)","(6927405, 0.55363464)","(6814967, 0.5557667)","(6315475, 0.56539863)","(1509148, 0.59285706)"
50040,"(6612708, 0.6245618)","(6340328, 0.69819266)","(4235562, 0.6476462)","(1849292, 0.6790067)","(1065152, 0.6517097)"
788782,"(7529045, 0.5869053)","(5977696, 0.57560647)","(5059361, 0.5849713)","(2559833, 0.56694406)","(781145, 0.569363)"
983227,"(8795843, 0.51121974)","(5232548, 0.50728154)","(2541391, 0.51548815)","(1263035, 0.5996072)","(138544, 0.49584198)"
693066,"(6927405, 0.63784945)","(6790327, 0.5947206)","(6516883, 0.6701144)","(2686269, 0.5935413)","(2574616, 0.6474447)"
1041343,"(6008311, 0.5866678)","(5964484, 0.5613823)","(5794669, 0.59668213)","(3354807, 0.558662)","(216942, 0.56692576)"
324168,"(5899628, 0.59949076)","(4847364, 0.65041834)","(3919218, 0.62436324)","(2625521, 0.6334329)","(1889656, 0.58833694)"
708149,"(6516883, 0.56024134)","(2686269, 0.56346333)","(2574616, 0.5552386)","(2205830, 0.5565705)","(165198, 0.5668745)"
1160946,"(6188943, 0.7188364)","(3399467, 0.73753387)","(2844554, 0.68649244)","(1887708, 0.70601904)","(922585, 0.6769705)"
571997,"(5381231, 0.6420053)","(2221265, 0.6741791)","(1630717, 0.6237118)","(970781, 0.61721396)","(737528, 0.6758634)"
901543,"(7863175, 0.7743714)","(5708469, 0.75667834)","(3784158, 0.73223484)","(3701335, 0.7558951)","(326766, 0.77781093)"
2919,"(4717500, 0.61165965)","(4270341, 0.6004388)","(3149927, 0.61043847)","(1509148, 0.5912621)","(148350, 0.6225759)"
940947,"(5272228, 0.46187097)","(4808173, 0.4646067)","(4523699, 0.47854775)","(4106303, 0.4782806)","(3305007, 0.51819336)"
716584,"(6631990, 0.53515327)","(5977696, 0.5062746)","(4138803, 0.53612804)","(1357890, 0.5292174)","(366647, 0.5557116)"
451151,"(8415146, 0.7033629)","(5910457, 0.6861977)","(1163391, 0.69435763)","(867631, 0.6978902)","(811853, 0.6856083)"
25403,"(7017778, 0.52940774)","(2541391, 0.61580133)","(2102544, 0.5913105)","(242666, 0.5314863)","(138544, 0.53293693)"
451784,"(7383467, 0.5451968)","(6340328, 0.5789608)","(1455982, 0.54412997)","(793463, 0.5476388)","(610507, 0.5474058)"
537437,"(6284514, 0.6424716)","(5598928, 0.6217138)","(4833283, 0.66745555)","(2142119, 0.6231785)","(1986840, 0.67091584)"
1020854,"(5587016, 0.64344746)","(5397676, 0.67980564)","(5165358, 0.6411551)","(3492824, 0.6421654)","(322007, 0.6482844)"
989325,"(7017778, 0.55294114)","(6397551, 0.55819273)","(5382142, 0.5236212)","(2205830, 0.53531086)","(242666, 0.55228835)"
679826,"(8052803, 0.5950521)","(6927405, 0.6228069)","(5885466, 0.59424484)","(2524276, 0.6147021)","(663535, 0.6082082)"
1138765,"(7071776, 0.42617917)","(2885240, 0.44092673)","(1263035, 0.42835748)","(916783, 0.43027204)","(231736, 0.42292148)"
1050237,"(6297380, 0.57575667)","(5791960, 0.6102892)","(4684811, 0.59152645)","(4441496, 0.5759552)","(2497228, 0.60849386)"
570125,"(6193280, 0.57383215)","(3828091, 0.58464015)","(2878569, 0.6320271)","(1920137, 0.65165377)","(1215982, 0.60984707)"
797623,"(5059361, 0.63426137)","(1920137, 0.5642692)","(781145, 0.600032)","(454090, 0.6152643)","(338789, 0.5659524)"
740833,"(6516883, 0.56834245)","(5059361, 0.61115134)","(3407865, 0.5967414)","(781145, 0.6078799)","(190671, 0.57686424)"
412693,"(6297264, 0.5458795)","(5724058, 0.54152477)","(4485076, 0.5602809)","(2476075, 0.5419171)","(476995, 0.56286633)"
484906,"(6162912, 0.6856983)","(4863350, 0.57321227)","(4744620, 0.5344864)","(2063839, 0.54413927)","(880944, 0.5218273)"
99292,"(6767632, 0.48010916)","(3587138, 0.4677041)","(2044071, 0.49612075)","(1920137, 0.46771726)","(338024, 0.586721)"
987725,"(6927405, 0.5432055)","(5964484, 0.5516232)","(4083034, 0.5376361)","(869674, 0.53575796)","(242666, 0.57814693)"
521522,"(4724446, 0.58872277)","(3352992, 0.5249742)","(2102544, 0.6346366)","(1375777, 0.522539)","(1330444, 0.5736468)"
533045,"(3801324, 0.5522685)","(3500683, 0.59394115)","(2702856, 0.5523783)","(1088620, 0.5587038)","(409002, 0.57362485)"
739072,"(6927405, 0.5885272)","(6516883, 0.6088362)","(5059361, 0.61441636)","(781145, 0.5822094)","(190671, 0.5641163)"
393682,"(7055632, 0.6227828)","(6516883, 0.6481108)","(5977696, 0.6191577)","(5059361, 0.6221366)","(190671, 0.71334034)"
338991,"(6752581, 0.62933433)","(5040444, 0.6074276)","(1282256, 0.68473136)","(454090, 0.66426784)","(387250, 0.6652307)"
54925,"(8795843, 0.6839429)","(6911875, 0.6310787)","(6406478, 0.5814614)","(1781384, 0.591333)","(638697, 0.6585164)"
80016,"(6028601, 0.67326725)","(2239411, 0.6748955)","(933886, 0.6622721)","(857093, 0.66096264)","(246572, 0.6865389)"
924838,"(6058734, 0.64022326)","(5804847, 0.6232403)","(4597859, 0.63723135)","(3265300, 0.6240002)","(2044071, 0.6759726)"
565734,"(4114220, 0.58792835)","(3961685, 0.6424415)","(650882, 0.55964684)","(531244, 0.5350545)","(173451, 0.5387085)"
815707,"(5964484, 0.452813)","(5059361, 0.47042698)","(4114220, 0.4670184)","(3961685, 0.5348219)","(190671, 0.45123196)"
779277,"(6569461, 0.55233485)","(5872373, 0.513563)","(2883115, 0.5293027)","(1818281, 0.5116359)","(1409403, 0.5283265)"
778795,"(5300612, 0.57836723)","(4284494, 0.49117124)","(3087295, 0.48881423)","(2790556, 0.49521795)","(1330444, 0.56695664)"
646066,"(7055632, 0.6166795)","(4101033, 0.5877247)","(2205830, 0.6219963)","(769642, 0.6166121)","(190671, 0.66943)"
696796,"(5059361, 0.5602314)","(3500683, 0.56817377)","(2878569, 0.6828629)","(2559833, 0.6163394)","(769642, 0.572734)"
1172156,"(6948696, 0.6894933)","(6827600, 0.6866561)","(5228139, 0.7045189)","(4925562, 0.693672)","(952942, 0.68505406)"
502781,"(5454490, 0.5841594)","(4474470, 0.57612884)","(3624592, 0.57640666)","(2743269, 0.59237725)","(178600, 0.5802294)"
152278,"(8440126, 0.6291468)","(7837375, 0.6901301)","(4186104, 0.6674588)","(2256567, 0.63505137)","(1943900, 0.6511125)"
775060,"(6927405, 0.6037872)","(6516883, 0.5488503)","(5059361, 0.51647544)","(2541391, 0.5383462)","(869674, 0.51775765)"
820139,"(6406478, 0.53282845)","(4724446, 0.5496258)","(4399158, 0.5569575)","(3436967, 0.5325975)","(216942, 0.5967039)"
697256,"(5868027, 0.51824296)","(3961685, 0.50018215)","(3443430, 0.47987923)","(1925352, 0.59724855)","(650882, 0.56217927)"
313188,"(5469199, 0.6787905)","(4175146, 0.70994604)","(2462461, 0.7039121)","(2391194, 0.66987795)","(1799728, 0.68745005)"
805743,"(5129465, 0.71539557)","(4462803, 0.67838943)","(3518032, 0.68338585)","(3283611, 0.6852906)","(2240450, 0.7320856)"
927690,"(7224307, 0.60035443)","(5974210, 0.572542)","(1492173, 0.5766696)","(216942, 0.57186115)","(120401, 0.57867545)"
961521,"(4158969, 0.6012354)","(3569797, 0.63605773)","(3462891, 0.5854651)","(2630953, 0.5849847)","(1116202, 0.61970645)"
678231,"(5832929, 0.5381292)","(5183923, 0.5378462)","(1992873, 0.53648186)","(1729692, 0.5792407)","(1176399, 0.5382863)"
647951,"(8795843, 0.5458479)","(2205830, 0.59694475)","(677946, 0.5691435)","(542229, 0.5648093)","(492197, 0.56243336)"
645640,"(6516883, 0.6266513)","(5040444, 0.585134)","(2686269, 0.58888316)","(2574616, 0.5891799)","(781145, 0.6207821)"
153419,"(6867197, 0.66538125)","(5232548, 0.64922965)","(2883115, 0.63815475)","(2237378, 0.60403615)","(652271, 0.6150925)"
44084,"(2095669, 0.609655)","(1916135, 0.610245)","(1723625, 0.6553726)","(1220339, 0.6240295)","(888409, 0.6296823)"
185133,"(7224307, 0.5751986)","(5974210, 0.5819466)","(5872756, 0.57263136)","(3379764, 0.5765105)","(216942, 0.61173284)"
114369,"(5868027, 0.52352935)","(5059361, 0.5140066)","(3342085, 0.5387261)","(1969416, 0.5368706)","(1607490, 0.54342806)"
952801,"(6608018, 0.5283336)","(4546633, 0.5124943)","(3026702, 0.52867436)","(2517914, 0.5106157)","(515797, 0.51856416)"
630138,"(7529045, 0.5448878)","(6927405, 0.53473294)","(6516883, 0.5340401)","(5977696, 0.55219495)","(781145, 0.56532705)"
522905,"(6749313, 0.6779685)","(4921992, 0.6821113)","(1770532, 0.7283728)","(1200431, 0.6959801)","(1098052, 0.6846063)"
199085,"(6070886, 0.7044761)","(5289784, 0.7090614)","(5024694, 0.7001891)","(4405261, 0.7442417)","(3365933, 0.72002834)"
989470,"(8795843, 0.4995402)","(6008311, 0.48492113)","(5964484, 0.51947397)","(5750821, 0.50133085)","(677946, 0.487313)"
498022,"(6797850, 0.52921665)","(6288184, 0.54486245)","(2475138, 0.5207205)","(1501371, 0.5256426)","(919988, 0.5213151)"
14395,"(4399158, 0.5197048)","(4101033, 0.55200666)","(3624592, 0.5307789)","(1159545, 0.51128)","(769642, 0.5326822)"
178997,"(6927405, 0.61723316)","(6516883, 0.6967174)","(2745790, 0.6237308)","(2574616, 0.6579541)","(2161608, 0.6950984)"
143304,"(4954368, 0.5092058)","(4630427, 0.55884916)","(4187926, 0.53131676)","(1718082, 0.50643444)","(283327, 0.5423162)"
650395,"(5977696, 0.57863504)","(5234894, 0.5736437)","(5081554, 0.57759595)","(5059361, 0.57276225)","(1464800, 0.57814336)"
286690,"(6061947, 0.47140306)","(5985568, 0.48343486)","(2790556, 0.547842)","(2761577, 0.49515694)","(2102544, 0.50669235)"
604565,"(6867197, 0.5736146)","(3220851, 0.5608018)","(2102544, 0.56072783)","(1818281, 0.59031343)","(216942, 0.56969464)"
1143842,"(7061308, 0.62461615)","(867631, 0.58118075)","(856341, 0.59951496)","(735608, 0.6658442)","(724538, 0.6062947)"
33351,"(7020298, 0.578851)","(5155602, 0.61947083)","(3685047, 0.57950735)","(2274718, 0.5803921)","(1184137, 0.6218177)"
